zone_id,int,out,relative_error_percent
1,0.3586969955802938,0.9287736959326949,44.278809926342305
2,0.7478008997915924,0.0563616596006581,85.9825208367687
3,0.05324244681379235,0.21527189109283265,60.342939428204964
4,0.048940492298025336,1.302672064672778,92.75820692170699
5,0.6906013586045319,1.8021849748237844,44.59201341538556
6,1.450611109572221,0.066695041619075,91.20875618058885
7,0.10596730654712488,0.01901007558959182,69.57837447931803
8,0.03728755054367095,0.3205851937296201,79.1615588835141
9,0.31542515775926355,0.04596989214938199,74.55975550246058
10,0.18663248531845886,0.07838454759308416,40.845653026953
11,0.0471450568225376,0.03841334507289705,10.20555732248485
12,0.061077819100280775,0.03281074789817487,30.107042961440516
13,0.1895241189473666,0.09472874197425443,33.348961437278454
14,0.10431156076907544,0.002937144220930111,94.52274184344917
15,0.02251258623463243,0.00013930971368437484,98.76999511208926
16,0.0336877888981406,0.1045723899313806,51.26899273046852
17,0.12154159614905215,0.2088324318852361,26.421821429354114
18,0.22404331616474876,0.025340229702979108,79.6777051871582
19,0.029507291323214207,0.000000052219863575250316,99.9996460551354
20,0.02166982954911965,0.0347413348909293,23.17184102040902
21,0.040278421348260665,0.030902050717751074,13.172672726606926
22,0.050758447570676886,0.006328044863940976,77.82997485372361
23,0.009705584706862967,0,100
24,0.03281074789817487,0,100
25,0.029327883603941833,0.039982904483503626,15.372817383231832
26,0.031685810654014816,0.016333807581716497,31.970273059928083
27,0,0.016218046827065864,100
28,0,0.12142550750782638,100
29,0.12142550750782638,0.2259632841841071,30.092443733471246
30,0.22427780543726233,0.17042234138152187,13.644652653363904
31,0.03578373692911413,0.02483674030648475,18.058248832460272
32,0,0.04069783883336281,100
33,0.04069783883336281,0.08135746931134305,33.31246391166794
34,0.03138758029970442,0.06081151885360688,31.913477272674317
35,0,0.004006003385121287,100
36,0,0.0006006683764008821,100
37,0.010673496355515302,0.2862360058155656,92.81026960911129
38,0.015412908958251044,0.21451201801967706,86.59309439751992
39,0.00010280003675758048,0.057699399643158025,99.64430406688034
40,0,0.1000132869296966,100
41,0.09319387678533228,0.2026929321931185,37.007075707711245
42,0.17844618254255917,0.3144084824829333,27.586692302758582
43,0.013656199153764866,0.0890951722410648,73.4189452298599
44,0,0.03790185042335931,100
45,0.033192175329282626,0.09886718265336333,49.73143011395764
46,0.02478309707719368,0.2776660743953061,83.6117275795235
47,0,0.0015131203116771949,100
48,0,0,0
49,0.009737411380533982,1.0746080104658164,98.20400193806255
50,0.04363107436169562,0.5547000657453239,85.41574341128504
51,0.0009885187024495602,0.18152715275948145,98.91678484972645
52,0,0.2608596140361956,100
53,0.09996489942572885,0.3621620106846961,56.73703597921087
54,0.21931181022052007,0.4517602458474194,34.638372068254654
55,0.024681982121608007,0.18637517543771775,76.61109207853312
56,0,0.13856599855267976,100
57,0.04498572545126875,0.20957648529106127,64.65639945529568
58,0.04325982827135021,0.5844699377489513,86.21705370270712
59,0,0.08078397485918279,100
60,0,0.12160612356316033,100
61,0.16277818542855169,1.001226240694951,72.03134596821873
62,0.1357739635982398,0.39813579198750837,49.1397330062706
63,0.02220309505118824,0.16775316344677638,76.62293916846532
64,0.0035428595200703637,0.3020407939283196,97.68125062967825
65,0.07624310352514518,0.320278433601622,61.54402906958851
66,0.207526446402022,0.2797229806602992,14.81716144717867
67,0.03904771164258397,0.17933376226910686,64.23898882707047
68,0.0008277486603713107,0.21410658832734702,99.22976600949657
69,0.05454053024275404,0.13442603001028375,42.27493989442266
70,0.06298130429697678,0.5053625865999514,77.83690286612098
71,0.0000004091247587171821,0.1926297671528716,99.99957522256729
72,0,0.23939163573463745,100
73,0.6254884015631856,4.461378511700557,75.40771511311779
74,3.295603773714685,0.0012989463903332027,99.92120201894876
75,0.32176255828367484,0.12635329962346176,43.60686086246648
76,0.7227668423741346,0.7122530420919893,0.7326588569228653
77,1.150298494696507,2.172245437652627,30.75796629823866
78,2.2828734776492894,2.1825185019970785,2.2473945425090847
79,2.0543012891357533,0.00535333918514736,99.48017117903774
80,0.08519994642595603,0.5752184811140243,74.19819227536675
81,0.5658967237057717,1.6779384566959252,49.55986708395726
82,1.7494418961087506,0.618556714841821,47.75700357412647
83,0.7685618679693839,0.0024731517188786084,99.35848524237497
84,0.20162004113088688,0.3735376817588122,29.890521119003527
85,0.12793317767046383,0.37462806567398005,49.087527395031785
86,0.3761240789542545,0.062375456872947474,71.55050266802218
87,0.02466277893395165,0,100
88,0.04226827833422822,0.1120670441722817,45.22539928285655
89,0.1401176291965444,0.2662667267627354,31.041819330966387
90,0.2820450357878371,0.35238770005563397,11.087489704369862
91,0.3494202480087498,0.08302526366930083,61.60197693016551
92,0.0408880874682978,0.10501965272333053,43.95350457131702
93,0.13647254520166952,0.2452017991812626,28.487441081579618
94,0.25314631694820444,0.10697328810158281,40.59013361030787
95,0.06136861183323076,0.0449655601770964,15.425945720009269
96,0.0854855950647084,0,100
97,0,0.335066453777957,100
98,0.3506124900600771,0.40077255178497734,6.6756801016068
99,0.016623924182579287,0.0012790922715272966,85.71087420037645
100,0,0.12599686242073313,100
101,0.1276823411675779,0.32128675730472095,43.121991423445
102,0.4559652571965316,0.4433519112250833,1.4025470005855558
103,0.33379619484617473,0.2925627960782753,6.583029758548308
104,0,0.10323815031674705,100
105,0.1532605295457124,0.3370947656039905,37.490007322579125
106,0.39792506686622114,0.37126000913399404,3.4666634291562417
107,0.04841752247016999,0.11553924777973495,40.938672558173224
108,0.0006006683764008821,0,100
109,0.26187345677637697,0.3181992814060384,9.71013132010846
110,0.5024474961993437,0.5447324830435106,4.037986562227858
111,0.05723113590560005,0.004320495580910791,85.96139378740062
112,0.006819410144364329,0.10776250470747266,88.09688221185283
113,0.13201045996856692,0.28676123800253317,36.953494895599604
114,0.5739889260235309,0.4769846143600989,9.229948037323867
115,0.4324186541392986,0.3173843493487016,15.341937049527706
116,0.004709675094076682,0.08821731834906561,89.86370930647118
117,0.15561896409582557,0.26845038999080434,26.606833247358235
118,0.5421707865658456,0.37698540032889194,17.97141645698032
119,0.042543345902268,0.0998215187793648,40.23336305990009
120,0,0,0
121,0.8741178304228082,0.898058445156569,1.3509161060139938
122,0.8547012188546569,1.2288360878110653,17.956715618168374
123,0.1599952815269484,0.10053963688723543,22.82060500819077
124,0.1573518550903964,0.13380228057312615,8.088353086107535
125,0.25026227682924007,0.3673071593673633,18.95250569052805
126,0.6953661351383376,0.8678535198598223,11.034110540382617
127,0.4573988849917785,0.448341772250515,0.999967559018455
128,0.0994349642704494,0.1287148655611327,12.833628371451091
129,0.24015731836872395,0.38214205870864315,22.81614694951993
130,0.8819028765299948,0.844799414163204,2.148804838377509
131,0.1253973926906105,0.17549551126117674,16.649817231513563
132,0.12160612356316033,0.07684722044817721,22.553866924220774
133,0.6129039841465359,1.5768197397887436,44.01997133729267
134,0.761840318841004,1.104593366185051,18.364062441321742
135,0.1311165143302734,1.0618770724985491,78.01890709592108
136,0.1811223316073817,1.715665260888114,80.90220198360856
137,0.275024602297417,2.0767089213028678,76.61090429357999
138,0.6968445145345541,1.0653818153638501,20.91316504450044
139,0.5255578008108821,0.419875253116724,11.178215872093936
140,0.15009780333810924,1.5930826641040448,82.77885667703076
141,0.2766947775136088,1.4264416875309398,67.50762100482989
142,0.6586583587215977,0.803007315382865,9.875647982888244
143,0.21338750006603424,0.338678951300615,22.694994583427373
144,0.17831381663435666,0.44109539796887515,42.42455151443712
145,1.8005116880997467,5.1749703894765995,48.375992710590104
146,2.5412887344420563,0.021200973068272774,98.34528326056213
147,0.24062167964163356,1.6149394440693687,74.06480696681058
148,0.12284117423607988,2.680083649013261,91.23478637620582
149,0.7264078386852894,3.080248448713985,61.83486063137187
150,1.7673714567809058,2.3615864186940896,14.391402863242467
151,1.9746999105606788,0.14922781240980537,85.94793873671952
152,0.17523063132205682,2.625814090452142,87.48819467537349
153,1.4578372924161833,2.4195930732676287,24.803947205943775
154,1.2577809640327637,0.7389272274230558,25.98545640419327
155,0.6375163969093576,0.0010260513400756422,99.6786270535691
156,0.4029684589405942,0.7080574658899497,27.460115928067864
157,0.07056723956100956,0.2724576879614538,58.85591168508394
158,0.33556531292530967,0.6618798331900125,32.715034158577694
159,0.051159488830468815,0,100
160,0.04725179315913751,0.1312457498215658,47.056085624387876
161,0.17571357684400485,0.22837510942518302,13.032171988625574
162,0.2618691835023541,0.3317443978495763,11.771161668519156
163,0.2746624610498978,0.31864147394591547,7.412560460487766
164,0.02005784724175101,0.13001115109273167,73.26849987091286
165,0.15701856366574046,0.2147492936471847,15.528703960238019
166,0.27738058043981106,0.38377437836137807,16.092112220481713
167,0.09215242536513635,0.19899153281212548,36.69631618525313
168,0.05227884624353181,0.00001939656925265181,99.9258232467883
169,0,0.302796758056223,100
170,0.7030606324489294,0.9187428789566459,13.298913523796127
171,0.0031408535691347435,0,100
172,0,0.12916696990040905,100
173,0.12916696990040905,0.24521525605815145,30.99727447279709
174,0.37961637216608424,0.6134324012893283,23.545271428074756
175,0.5500350458686925,0.4495882804911851,10.048461528332243
176,0.00007767630266554851,0.14820122736033756,99.8952294618497
177,0.14820122736033756,0.2849591731170348,31.57212561581821
178,0.6118091742763198,0.7078988122030699,7.281128773274332
179,0.22632934724042375,0.2747367689978492,9.660885098525835
180,0,0.0005272605324887905,100
181,0.024344723479132666,0.2786583300997853,83.93103753141415
182,0.8227840337390477,0.6914795019283212,8.671180987849501
183,0.0059312074068852555,0.000002540824690777718,99.91436021241154
184,0,0.09362810708530808,100
185,0.09362810708530808,0.20774613380792561,37.86588607718651
186,0.3384829214098643,0.35461482971661806,2.327508389766781
187,0.507181895645059,0.3171797785835765,23.04839283549537
188,0.0006930520350126903,0.14240479710990683,99.0313592564053
189,0.14240479710990683,0.20998207014121117,19.17701234397802
190,0.5437436239982061,0.4171466835899438,13.174962782799076
191,0.12833472731262993,0.14399779319559114,5.751448946945863
192,0,0,0
193,0.49199511385647415,0.3651582153962023,14.797457366333363
194,1.4456895149284772,1.054238920509299,15.65847201344502
195,0.0861808653726055,0.02884959350308635,49.84007925368221
196,0.03565244092011079,0.06312044499429499,27.80925536385291
197,0.0985798209877394,0.24008000865117582,41.782394981508816
198,0.7834606783860083,0.6077087226634164,12.633397168598876
199,0.6066865135878559,0.440427887418554,15.877790049445048
